business_id,name,category,address,city,state,zip_code,phone,website,description,services
"biz_001","Mario's Authentic Italian Restaurant","restaurant","123 Main Street","Springfield","IL","62701","2175550123","https://www.mariositalian.com","Family-owned Italian restaurant serving traditional recipes since 1985","Dine-in, Takeout, Catering, Private Events"
"biz_002","Springfield Auto Repair","auto_repair","456 Mechanic Ave","Springfield","IL","62702","2175550456","https://www.springfieldauto.net","Full-service automotive repair shop with ASE-certified technicians","Oil Changes, Brake Repair, Engine Diagnostics, Tire Service"
"biz_003","Bloom & Grow Landscaping","landscaping","789 Garden Lane","Springfield","IL","62703","2175550789","https://www.bloomgrowlandscape.com","Professional landscaping and lawn care services for residential and commercial properties","Lawn Maintenance, Garden Design, Tree Trimming, Irrigation Systems"
"biz_004","Downtown Dental Care","dental","321 Professional Plaza","Springfield","IL","62701","2175550321","https://www.downtowndental.com","Modern dental practice offering comprehensive oral health services","General Dentistry, Cleanings, Fillings, Cosmetic Dentistry"
"biz_005","The Coffee Bean Cafe","cafe","567 University Drive","Springfield","IL","62704","2175550567","https://www.coffeebeanspringfield.com","Cozy neighborhood cafe serving artisan coffee and fresh pastries","Coffee, Espresso, Pastries, Light Meals, Wi-Fi"
"biz_006","Fitness First Gym","fitness","890 Wellness Way","Springfield","IL","62705","2175550890","https://www.fitnessfirstgym.com","Full-service fitness center with modern equipment and personal training","Gym Membership, Personal Training, Group Classes, Nutrition Counseling"
"biz_007","Pet Paradise Veterinary","veterinary","234 Animal Care Blvd","Springfield","IL","62706","2175550234","https://www.petparadisevet.com","Compassionate veterinary care for dogs, cats, and exotic pets","Wellness Exams, Vaccinations, Surgery, Emergency Care"
"biz_008","Springfield Plumbing Pro","plumbing","678 Service Street","Springfield","IL","62707","2175550678","https://www.springfieldplumbingpro.com","Licensed plumbing contractor providing residential and commercial services","Pipe Repair, Drain Cleaning, Water Heater Installation, Emergency Service"
"biz_009","Elegant Events Planning","event_planning","345 Celebration Circle","Springfield","IL","62708","2175550345","https://www.eleganteventsil.com","Full-service event planning for weddings, corporate events, and special occasions","Wedding Planning, Corporate Events, Party Coordination, Venue Selection"
"biz_010","TechFix Computer Repair","computer_repair","912 Technology Lane","Springfield","IL","62709","2175550912","https://www.techfixspringfield.com","Professional computer and device repair services for home and business","Computer Repair, Virus Removal, Data Recovery, Network Setup"